'dataset','20.0','50.0','100.0','400.0','ner'
'\textit{baseline}','45.7 $\pm$ 1.2','33.8 $\pm$ 2.2','26.6 $\pm$ 0.8','10.6 $\pm$ 2.0','-'
'$D_{gold}$','49.3 $\pm$ 1.8','33.3 $\pm$ 3.1','23.0 $\pm$ 3.6','04.9 $\pm$ 4.1','57.0 $\pm$ 0.2'
'$D_{gold\times4}$','\textbf{53.7 $\pm$ 2.3}','42.5 $\pm$ 0.2','35.0 $\pm$ 1.3','26.4 $\pm$ 5.9','61.6 $\pm$ 0.1'
'$D_{0}^{4\%}$','49.8 $\pm$ 1.1','38.7 $\pm$ 1.1','32.2 $\pm$ 1.8','24.2 $\pm$ 2.5','-'
'$D_{0}^{6\%}$','49.9 $\pm$ 1.2','38.5 $\pm$ 1.9','31.0 $\pm$ 1.7','23.9 $\pm$ 2.4','59.6 $\pm$ 0.2'
'$D_{1}^{4\%}$','50.9 $\pm$ 0.9','41.1 $\pm$ 1.6','33.9 $\pm$ 1.8','26.9 $\pm$ 1.4','-'
'$D_{1}^{6\%}$','51.2 $\pm$ 0.9','40.7 $\pm$ 1.4','33.7 $\pm$ 2.1','24.5 $\pm$ 2.7','59.4 $\pm$ 0.2'
'$D_{2}^{4\%}$','50.6 $\pm$ 0.8','41.0 $\pm$ 1.3','34.3 $\pm$ 2.0','27.0 $\pm$ 2.0','-'
'$D_{2}^{6\%}$','51.7 $\pm$ 1.1','40.7 $\pm$ 1.0','31.9 $\pm$ 7.5','26.5 $\pm$ 2.5','59.4 $\pm$ 0.2'
'$D_{\{0,1,2\}}^{6\%}$','52.4 $\pm$ 0.4','\textbf{43.1 $\pm$ 0.5}','\textbf{37.2 $\pm$ 0.3}','\textbf{31.0 $\pm$ 0.7}','\textbf{61.7 $\pm$ 0.1}'
